Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
1,50028309,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-M,50028309,8.0,O=CN(O)CCCP(=O)([O-])O
2,50441210,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],FCHGYCPRLYDAIK-JTQLQIEISA-N,50441210,9.2,CN(O)C(=O)CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
3,50528602,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],CHWZNLZHQNRDMJ-SECBINFHSA-N,50528602,13.0,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO
4,50528593,[H]ON(C(=O)C([H])([H])S[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IEOBWBKWPIZSFL-SNVBAGLBSA-N,50528593,18.0,CN(O)C(=O)CSC(c1cc(F)cc(F)c1)P(=O)(O)O
5,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,20.0,O=CN(O)CCCP(=O)(O)O
6,50528598,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c([H])c(SC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(SC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],HTOYGFWFDNRLAI-SNVBAGLBSA-N,50528598,22.0,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1
7,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,28.0,CC(=O)N(O)CCCP(=O)(O)O
16,50441211,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],OLMCJFHPDFCFTI-JTQLQIEISA-N,50441211,42.0,CN(O)C(=O)CSC(c1ccc(F)c(F)c1)P(=O)(O)O
18,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,48.0,CN(O)C(=O)CCCP(=O)(O)O
20,50185361,[H]ON(C(=O)C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],LUPJKMGSDFIKFE-NTSWFWBYSA-N,50185361,50.0,CC(=O)N(O)CC1CC1P(=O)(O)O
