ID,minimizedAffinity,CNNscore,CNNaffinity
50181154,-7.57784557,0.676274776,5.52202082
50528591,-7.67719078,0.696852684,5.19876719
50441201,-7.49980831,0.620289862,5.09708261
50422670,-9.66008091,0.711132944,6.34986115
50185363,-5.70469046,0.938491106,5.97313118
50441203,-7.48099613,0.756614983,5.34075975
50044976,-6.17870474,0.687190294,4.85506201
50422651,-7.17233467,0.865291059,5.74808311
15236,-6.36916542,0.433827549,4.97406483
50181149,-7.73119164,0.725754321,5.42436266
50335485,-4.78573942,0.553754091,5.26577425
50441209,-8.13074684,0.670466661,5.40672255
50335491,-5.29532719,0.864992082,3.91062355
50528603,-6.64771366,0.770846248,5.08717489
50028381,-7.12299824,0.462644935,5.42170286
50335482,-7.94274092,0.688973784,5.13995409
50459310,-6.49915314,0.947422326,5.90215921
50441192,-7.70213652,0.609471977,4.9244113
50422643,-6.25900602,0.825121999,5.37196732
50081647,-6.45819998,0.898147583,5.86016083
50335492,-5.25637436,0.837288082,3.93140101
50528601,-7.09704447,0.746122599,5.17784929
50422663,-5.17135286,0.750931442,5.16434622
50422674,-6.08309031,0.876739025,5.6309247
50335481,-6.6637888,0.761209011,5.08454275
50335493,-7.03827763,0.808231711,5.14071083
50422669,-6.76728439,0.95923847,6.05932474
50437794,-1.6619122,0.244914204,5.2738862
50422641,-7.56559849,0.943578243,6.34567833
50422662,-7.06210756,0.939994752,6.48384094
50459311,-6.61419678,0.95931077,5.96633387
50044967,6.37094021,0.400456101,4.64561892
50422672,-2.57230783,0.856036067,6.05903244
50441195,-8.10534954,0.705112875,5.59557724
50441205,-7.82269907,0.814737976,5.65378332
50181152,-7.66447163,0.814037085,5.56922531
50437804,-8.06248951,0.908205867,6.2673316
50528600,-7.19797421,0.904524863,5.88644171
50185361,-6.45909929,0.858016789,5.59936523
50441208,-7.62762833,0.65331018,5.07410574
50528602,-8.12309837,0.70604986,5.20885801
50437803,-6.03090906,0.354972929,5.64867592
50028309,-6.01959991,0.888298869,5.53664017
50441189,-6.59351301,0.613111854,4.85285425
50379999,-6.77251291,0.925255299,5.77150106
701271,-6.36918497,0.943077743,5.94363785
50185359,-6.77488041,0.941998541,5.99309397
50528598,-6.32846594,0.565711856,5.12651491
50185362,-6.93694258,0.963488162,6.10234118
50422661,-6.96640682,0.924329817,5.80138206
50422650,-6.55456734,0.959316671,5.85557032
50422665,-6.76714373,0.911132872,5.99961424
50028362,-5.62273264,0.674583912,5.15345907
50422654,-5.27656269,0.628572047,4.79409838
7459,37.5570374,0.750582397,4.74045181
50181148,-6.67552662,0.78308326,5.88492632
50422642,-7.78965139,0.915423453,6.46511126
50044973,5.86732912,0.476535529,4.79148722
50422647,-7.47696257,0.974471211,6.18272257
59100,-1.0443331,0.698114097,6.10957575
50441193,-5.40025711,0.65367806,4.93368912
50422645,-9.00595379,0.913829386,6.17024231
50081649,-7.39347696,0.873302519,5.72447252
50422652,-9.56437778,0.650469244,6.6184659
50181153,-6.75422525,0.971103966,6.17627144
50028310,-7.62184238,0.418905139,5.11546183
50441207,-6.28518009,0.640295088,5.25342321
50441210,-7.93868876,0.825230598,5.7257309
50044971,1.03632545,0.312637568,5.47385836
50441206,-6.65922022,0.724354386,5.61240625
50028380,-6.06830168,0.76908344,5.69992971
50441211,-7.64518118,0.880885959,5.54980993
50445564,-6.27084875,0.952774644,5.83366251
50335494,-6.77767372,0.818106115,4.42214632
50441191,-6.02385569,0.504702389,5.40909624
50528593,-6.48624229,0.867114186,5.51041937
50028373,-4.45346308,0.469418526,5.16542101
50437796,-6.08654404,0.177342728,4.91264343
50441202,-6.41331005,0.795112908,5.58292198
50009001,-1.93197262,0.830400288,5.33246231
50441197,-7.03192329,0.885443091,5.58479691
50441194,-6.68662405,0.632605672,5.22115755
50335483,-6.66747522,0.778704882,5.63327551
50528597,-6.95005131,0.670150101,5.00162935
7460,-5.64236355,0.623380899,5.05963278
