ligand_id,lig_key,status,mensagem,sdf_path,num_conformers,num_atoms
7457,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 4 14 16 20,,,
7457,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/7457_LIG2.sdf,1,48
7459,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 3 13 15 18 20,,,
7459,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/7459_LIG2.sdf,1,48
7460,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 4 14 16 19 21,,,
7460,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/7460_LIG2.sdf,1,48
15236,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 4 15 17 20 22,,,
15236,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/15236_LIG2.sdf,1,48
59100,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 1 4,,,
59100,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/59100_LIG2.sdf,1,48
701278,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/701278_LIG1.sdf,1,25
701278,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/701278_LIG2.sdf,1,48
50009001,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 3 11 13 15 17 19,,,
50009001,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50009001_LIG2.sdf,1,48
50028309,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50028309_LIG1.sdf,1,11
50028309,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028309_LIG2.sdf,1,48
50028310,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 1 4,,,
50028310,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028310_LIG2.sdf,1,48
50028362,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50028362,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028362_LIG2.sdf,1,48
50028363,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50028363,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028363_LIG2.sdf,1,48
50028364,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5 19,,,
50028364,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028364_LIG2.sdf,1,48
50028371,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5 18,,,
50028371,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028371_LIG2.sdf,1,48
50028373,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50028373,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028373_LIG2.sdf,1,48
50028380,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 9,,,
50028380,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028380_LIG2.sdf,1,48
50028381,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 11,,,
50028381,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50028381_LIG2.sdf,1,48
50044967,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 11 13,,,
50044967,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50044967_LIG2.sdf,1,48
50044971,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 1 4,,,
50044971,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50044971_LIG2.sdf,1,48
50044973,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 12 14,,,
50044973,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50044973_LIG2.sdf,1,48
50044975,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 11 13,,,
50044975,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50044975_LIG2.sdf,1,48
50044976,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 9 12 14,,,
50044976,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50044976_LIG2.sdf,1,48
50081647,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50081647_LIG1.sdf,1,13
50081647,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50081647_LIG2.sdf,1,48
50081649,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 10,,,
50081649,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50081649_LIG2.sdf,1,48
50081650,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 11,,,
50081650,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50081650_LIG2.sdf,1,48
50115109,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 6 9 12,,,
50115109,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50115109_LIG2.sdf,1,48
50135835,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50135835_LIG1.sdf,1,20
50135835,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50135835_LIG2.sdf,1,48
50153713,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50153713_LIG1.sdf,1,11
50153713,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50153713_LIG2.sdf,1,48
50181147,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8,,,
50181147,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181147_LIG2.sdf,1,48
50181148,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 11 13,,,
50181148,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181148_LIG2.sdf,1,48
50181149,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 11,,,
50181149,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181149_LIG2.sdf,1,48
50181150,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50181150,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181150_LIG2.sdf,1,48
50181151,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50181151,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181151_LIG2.sdf,1,48
50181152,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 8 11,,,
50181152,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181152_LIG2.sdf,1,48
50181153,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50181153_LIG1.sdf,1,12
50181153,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181153_LIG2.sdf,1,48
50181154,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 7 10 12,,,
50181154,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50181154_LIG2.sdf,1,48
50185361,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50185361_LIG1.sdf,1,13
50185361,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50185361_LIG2.sdf,1,48
50185362,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50185362_LIG1.sdf,1,14
50185362,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50185362_LIG2.sdf,1,48
50185363,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50185363_LIG1.sdf,1,12
50185363,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50185363_LIG2.sdf,1,48
50335486,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 4,,,
50335486,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50335486_LIG2.sdf,1,48
50335490,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 5 8,,,
50335490,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50335490_LIG2.sdf,1,48
50335491,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 5 9,,,
50335491,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50335491_LIG2.sdf,1,48
50335492,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50335492_LIG1.sdf,1,11
50335492,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50335492_LIG2.sdf,1,48
50335493,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 5 8 16,,,
50335493,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50335493_LIG2.sdf,1,48
