ID,Real_pIC50,Pred_3D
50185361,7.30103,6.1987576
50028363,6.853872,5.099792
50437796,5.09691,5.0572133
50422641,5.7399287,5.1402717
50422643,5.1799955,5.3048205
50441211,7.376751,6.1700177
50422650,7.1870866,5.8203816
50028364,6.49485,5.0095286
50441197,5.69897,5.7249246
50437792,5.920819,5.2009044
50380000,5.939302,5.892984
50081649,4.9850597,5.043787
50181153,6.49485,6.363984
50441201,4.823909,5.2162576
50185359,6.79588,6.0883965
50153713,7.318759,6.7142024
50422656,6.74958,5.861542
50528598,7.0,6.6980033
50153713,6.29243,6.356677
50153713,6.6382723,5.987133
50028381,4.958607,4.53968
50044976,5.5086384,5.387336
50044975,5.21467,5.1869407
50153713,7.09691,6.5426283
50153713,7.5228786,6.480377
50044973,5.481486,4.2084355
50441189,6.552842,6.2192664
50028309,7.309804,6.203279
50441194,4.8860564,5.3067193
7460,5.7212462,4.937094
50380000,6.387216,5.996349
50422651,6.6401644,4.8447604
50422646,5.6300426,5.737567
50135835,5.39794,4.528905
50185363,6.5044556,6.194759
50153713,7.09691,6.218399
50441207,4.823909,5.8885345
