ID,pIC50,CNNscore,CNNaffinity,Consenso_Score
50181153,7.0074,0.9711,6.1763,0.9484
50422669,7.2676,0.9592,6.0593,0.9444
50422650,7.1871,0.9593,5.8556,0.9405
50422656,6.7496,0.9747,6.2448,0.9206
50153713,7.0975,0.9358,5.9045,0.8889
50441211,7.3768,0.8809,5.5498,0.8651
50185359,6.7959,0.942,5.9931,0.8611
50459310,6.5784,0.9474,5.9022,0.8532
50528593,7.3517,0.8671,5.5104,0.8492
50422666,6.3495,0.9602,6.1857,0.8373
50028309,7.0762,0.8883,5.5366,0.8373
50185361,7.301,0.858,5.5994,0.8214
50185363,6.5045,0.9385,5.9731,0.8175
50441210,8.0362,0.8252,5.7257,0.8095
50459311,6.2218,0.9593,5.9663,0.8095
701271,6.3212,0.9431,5.9436,0.7897
50380000,6.611,0.8956,5.617,0.7897
50379999,6.3965,0.9253,5.7715,0.7857
50422651,6.6402,0.8653,5.7481,0.7659
50445564,5.9706,0.9528,5.8337,0.754
50437806,5.7959,0.9662,6.2521,0.748
50181152,7.0044,0.814,5.5692,0.744
50422677,6.1898,0.8995,5.721,0.7262
50181148,6.9245,0.7831,5.8849,0.7202
50422674,6.15,0.8767,5.6309,0.6944
50422662,5.7701,0.94,6.4838,0.6865
50422641,5.7399,0.9436,6.3457,0.6845
50528602,7.1905,0.706,5.2089,0.6825
50185362,5.5229,0.9635,6.1023,0.6786
50081647,5.9176,0.8981,5.8602,0.6706
50335483,6.5072,0.7787,5.6333,0.6667
701274,5.6261,0.9483,5.7105,0.6667
50181154,7.2291,0.6763,5.522,0.6508
50437805,5.4437,0.9533,6.4283,0.6329
50422646,5.63,0.9198,5.9957,0.631
50437804,5.699,0.9082,6.2673,0.625
50441205,6.1427,0.8147,5.6538,0.623
50422645,5.62,0.9138,6.1702,0.6151
50437797,6.4949,0.745,5.6706,0.6131
50441195,6.5528,0.7051,5.5956,0.6071
50335481,6.3382,0.7612,5.0845,0.6052
50441197,5.699,0.8854,5.5848,0.6012
50335493,6.0757,0.8082,5.1407,0.5992
50528603,6.1675,0.7708,5.0872,0.5992
50181149,6.4023,0.7258,5.4244,0.5972
50441208,6.9586,0.6533,5.0741,0.5913
50528598,7.3288,0.5657,5.1265,0.5675
50081649,5.5296,0.8733,5.7245,0.5635
50335482,6.4023,0.689,5.14,0.5615
