ID,pIC50,SMILES,minimizedAffinity,CNNscore,CNNaffinity,Rank_Exp,Rank_Dock,Rank_Consenso
50181153,7.552841968657781,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,7.0,20.0,27.0
50181153,7.522878745280337,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,10.0,20.0,30.0
50181153,7.522878745280337,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,10.0,20.0,30.0
50181153,7.522878745280337,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,10.0,20.0,30.0
50181153,7.236572006437063,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,22.0,20.0,42.0
50422669,7.267606240177032,CC(=O)N(O)CCC(C)P(=O)(O)O,-6.76728439,0.95923847,6.05932474,21.0,28.0,49.0
50422666,7.0,O=C(c1ccccc1)N(O)CCCP(=O)(O)O,-7.73096371,0.960223675,6.18571138,35.5,13.5,49.0
50153713,7.698970004336019,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,5.0,47.5,52.5
50153713,7.522878745280337,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,10.0,47.5,57.5
50153713,7.522878745280337,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,10.0,47.5,57.5
50153713,7.494850021680094,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,13.5,47.5,61.0
50153713,7.494850021680094,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,13.5,47.5,61.0
50422656,6.749579997691106,O=C(C(Cl)Cl)N(O)CCCP(=O)(O)O,-6.74873543,0.974672735,6.24481821,52.0,11.0,63.0
50153713,7.376750709602099,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,15.5,47.5,63.0
50153713,7.318758762624412,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,17.5,47.5,65.0
50181153,6.795880017344075,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,47.5,20.0,67.5
50181153,6.795880017344075,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,47.5,20.0,67.5
